mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,NSP,abserrPpm,sumintens,relativeintens,avemass,dbe_o,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
675.72,2400035,202.08736,202.087352,-0.008,-0.037,C12 H12 N O2,12,12,1,2,0,13,1.083333333,0.166666667,27,1,0.037,61527170297,3.90077E-05,360.8341791,5,0.5,7,-0.5,0.138300543,202,1.481703669,201,0.03119247,202,0.151598305,202,0.13407713,202
205.89,5516085,202.10846,202.108482,0.021,0.105,C9 H16 N O4,9,16,1,4,0,17,1.888888889,0.444444444,21,1,0.105,61527170297,8.96528E-05,360.8341791,-2,-0.166666667,2,-0.666666667,0.117194137,202,1.460737727,201,0.010074864,202,0.172735022,202,0.155212015,202
532.75,2195503,203.038334,203.038354,0.02,0.097,C8 H11 O4 S,8,11,0,4,1,12,1.5,0.5,18,1,0.097,61527170297,3.56835E-05,360.8341791,-1,0,3,-0.25,0.18836044,203,1.538085481,201,0.080748327,203,0.102902641,203,0.085299013,203
-1000,3930174,203.056119,203.056112,-0.007,-0.034,C8 H11 O6,8,11,0,6,0,12,1.5,0.75,18,0,0.034,61527170297,6.3877E-05,360.8341791,-3,0,3,0,0.170622269,203,1.520465359,201,0.063000744,203,0.120666287,203,0.103061119,203
-1000,4889172,203.082608,203.082601,-0.007,-0.033,C11 H11 N2 O2,11,11,2,2,0,12,1.090909091,0.181818182,26,2,0.033,61527170297,7.94636E-05,360.8341791,5,0.5,7,-0.181818182,0.144162847,203,1.494182026,202,0.036527283,203,0.147163708,203,0.129556244,203
-1000,11039323,203.092491,203.092497,0.006,0.028,C9 H15 O5,9,15,0,5,0,16,1.777777778,0.555555556,20,0,0.028,61527170297,0.000179422,360.8341791,-3,-0.076923077,2,-0.666666667,0.134277896,203,1.484362861,202,0.026637088,203,0.157062854,203,0.139454532,203
-1000,12874361,203.128872,203.128883,0.01,0.051,C10 H19 O4,10,19,0,4,0,20,2,0.4,22,0,0.051,61527170297,0.000209247,360.8341791,-3,-0.125,1,-1.2,0.097932525,203,1.44825937,202,0.009727568,203,0.193460422,203,0.175848945,203
332.9,4481377,204.030214,204.030231,0.017,0.085,C10 H6 N O4,10,6,1,4,0,7,0.7,0.4,23,1,0.085,61527170297,7.28357E-05,360.8341791,4,0.714285714,8,0.4,0.197590979,204,1.553909657,202,0.089453163,204,0.095094972,204,0.077405347,204
22.86,42648960,204.066599,204.066617,0.017,0.085,C11 H10 N O3,11,10,1,3,0,11,1,0.272727273,25,1,0.085,61527170297,0.000693173,360.8341791,4,0.529411765,7,-0.181818182,0.161245608,204,1.517806167,202,0.053088507,204,0.13149254,204,0.11379976,204
545.99,2803585,204.069976,204.069988,0.012,0.058,C8 H14 N O3 S,8,14,1,3,1,15,1.875,0.375,19,2,0.058,61527170297,4.55666E-05,360.8341791,-1,-0.333333333,2,-0.5,0.157878372,204,1.51446134,202,0.049719484,204,0.134864612,204,0.11717154,204
492.89,2229798,204.114233,204.114236,0.003,0.012,C11 H14 N3 O,11,14,3,1,0,15,1.363636364,0.090909091,27,3,0.012,61527170297,3.62409E-05,360.8341791,5,0.333333333,6,-0.363636364,0.113679779,204,1.470556892,203,0.00549744,204,0.179126679,204,0.161429771,204
-1000,3211195,204.13937,204.139388,0.017,0.085,C13 H18 N O,13,18,1,1,0,19,1.461538462,0.076923077,29,1,0.085,61527170297,5.21915E-05,360.8341791,4,0.304347826,5,-1.076923077,0.088555864,204,1.445600179,203,0.019639806,204,0.204286675,204,0.186587586,204
398.92,2790543,205.014188,205.014247,0.059,0.288,C10 H5 O5,10,5,0,5,0,6,0.6,0.5,22,0,0.288,61527170297,4.53546E-05,360.8341791,3,0.733333333,8,0.4,0.21467374,205,1.577533798,203,0.106014387,205,0.079423804,205,0.061648864,205
501.63,2939538,205.017603,205.017618,0.015,0.075,C7 H9 O5 S,7,9,0,5,1,10,1.428571429,0.714285714,16,1,0.075,61527170297,4.77763E-05,360.8341791,-2,-0.142857143,3,0.285714286,0.211306504,205,1.574188971,203,0.102645364,205,0.082795876,205,0.065020644,205
494.61,2350754,205.036653,205.036714,0.061,0.295,C8 H5 N4 O3,8,5,4,3,0,6,0.75,0.375,22,4,0.295,61527170297,3.82068E-05,360.8341791,5,1,8,1.5,0.192231827,205,1.555241237,203,0.083560566,205,0.101897947,205,0.084121059,205
348.25,3153070,205.050627,205.050632,0.005,0.027,C11 H9 O4,11,9,0,4,0,10,0.909090909,0.363636364,24,0,0.027,61527170297,5.12468E-05,360.8341791,3,0.555555556,7,-0.181818182,0.178329368,205,1.5414313,203,0.06965073,205,0.115820372,205,0.098042277,205
201.16,4638897,205.053964,205.054004,0.039,0.191,C8 H13 O4 S,8,13,0,4,1,14,1.75,0.5,18,1,0.191,61527170297,7.53959E-05,360.8341791,-2,-0.2,2,-0.5,0.174961133,205,1.538085481,203,0.066280708,205,0.119193444,205,0.101415057,205
