mSigma,ObservedIntens,ObservedM_z,calc_M_z,errMDa,errPpm,sumFormula,C,H,N,O,S,H1,HCraito,OCraito,CN2,NSP,abserrPpm,sumintens,relativeintens,avemass,dbe_o,aimod,dbe,nosc,kmdch2,nkmch2,kmdh2,nkmh2,kmdh2o,nkmh2o,kmdo,nkmo,kmdcoo,nkmcoo
243.18,6005493,205.087004,205.087018,0.014,0.069,C24H22O10,12,13,0,3,0,14,1.166666667,0.25,26,0,0.069,74423097888,5.15E-05,417.4783194,3,0.428571429,6,-0.666666667,0.141983996,205,1.50532781,203,0.033286074,205,0.152217939,205,0.13443669,205
5.94,12270308,207.02989,207.029897,0.007,0.032,C23H18O11,10,7,0,5,0,8,0.8,0.5,22,0,0.032,74423097888,0.000681552,417.4783194,2,0.6,7,0.2,0.201274433,207,1.577533798,205,0.091546767,207,0.095714607,207,0.077764908,207
5.23,13306578,207.066272,207.066282,0.011,0.052,C22H14O12,11,11,0,4,0,12,1.090909091,0.363636364,24,0,0.052,74423097888,0.000952993,417.4783194,2,0.444444444,6,-0.363636364,0.16493006,207,1.5414313,205,0.055183111,207,0.132111174,207,0.114158321,207
-1000,7368465,207.102669,207.102668,-0.001,-0.005,C23H16O11,12,15,0,3,0,16,1.333333333,0.25,26,0,0.005,74423097888,3.58E-05,417.4783194,2,0.333333333,5,-0.833333333,0.128584689,207,1.50532781,205,0.018818455,207,0.168508742,207,0.150552733,207
-1000,3945224,209.009148,209.009161,0.014,0.066,C25H30O8,9,5,0,6,0,6,0.666666667,0.666666667,20,0,0.066,74423097888,0.000151983,417.4783194,1,0.666666667,7,0.666666667,0.224220496,209,1.613637288,207,0.113443804,209,0.075607842,209,0.057486539,209
6.19,6691572,209.045539,209.045547,0.008,0.037,C24H26O9,10,9,0,5,0,10,1,0.5,22,0,0.037,74423097888,0.003240779,417.4783194,1,0.466666667,6,0,0.187875125,209,1.577533798,207,0.077079148,209,0.112005409,209,0.093880951,209
5.95,5938836,209.081925,209.081932,0.007,0.035,C24H24O9,11,13,0,4,0,14,1.272727273,0.363636364,24,0,0.035,74423097888,0.000493679,417.4783194,1,0.333333333,5,-0.545454545,0.151530753,209,1.5414313,207,0.040715491,209,0.148401977,209,0.130274364,209
7.59,6936192,211.024812,211.024812,0,-0.002,C23H20O10,9,7,0,6,0,8,0.888888889,0.666666667,20,0,0.002,74423097888,0.000784183,417.4783194,0,0.5,6,0.444444444,0.21082019,211,1.613636296,209,0.098975185,211,0.091899644,211,0.073603582,211
3.05,11603543,211.061193,211.061197,0.004,0.019,C21H12O12,10,11,0,5,0,12,1.2,0.5,22,0,0.019,74423097888,0.003364963,417.4783194,0,0.333333333,5,-0.2,0.174475818,211,1.577533798,209,0.062611528,211,0.128296212,211,0.109996995,211
-1000,5594630,211.097604,211.097583,-0.021,-0.1,C23H18O10,11,15,0,4,0,16,1.454545455,0.363636364,24,0,0.1,74423097888,7.22E-05,417.4783194,0,0.222222222,4,-0.727272727,0.138130447,211,1.541430308,209,0.026246872,211,0.164693779,211,0.146391408,211
363.18,9189873,212.049966,212.049921,-0.044,-0.209,C22H14O11,8,10,3,2,1,11,1.375,0.25,21,4,0.209,74423097888,2.85E-05,417.4783194,3,0,5,0.5,0.186855836,212,1.596486493,210,0.074467514,212,0.11733454,212,0.0989496,212
752.67,5526142,212.071491,212.071702,0.211,0.994,C24H28O8,13,10,1,2,0,11,0.846153846,0.153846154,29,1,0.994,74423097888,2.82E-05,417.4783194,7,0.636363636,9,-0.307692308,0.165099157,212,1.574874606,210,0.052699291,212,0.139122465,212,0.120735636,212
-1000,10489138,213.004104,213.004076,-0.028,-0.133,C22H18O10,8,5,0,7,0,6,0.75,0.875,18,0,0.133,74423097888,3.82E-05,417.4783194,-1,0.555555556,6,1,0.233766254,213,1.649739786,211,0.120872221,213,0.071792879,213,0.053325213,213
7.15,6729723,213.040464,213.040462,-0.003,-0.012,C22H16O10,9,9,0,6,0,10,1.111111111,0.666666667,20,0,0.012,74423097888,0.000466973,417.4783194,-1,0.333333333,5,0.222222222,0.197420883,213,1.613636296,211,0.084507565,213,0.108190447,213,0.089719626,213
