Source,Target,Weight,colour
C12H18O4N4,C17H28O7N4,1,2
C11H9O6N1S1,C16H19O9N1S1,1,2
C12H13O7N1,C17H23O10N1,1,2
C13H17O6N1,C18H27O9N1,1,2
C14H21O5N1,C19H31O8N1,1,2
C15H25O4N1,C20H35O7N1,1,2
C12H15O7N1,C17H25O10N1,1,2
C11H15O6N3,C16H25O9N3,1,2
C16H15O4N1,C21H25O7N1,1,2
C12H19O5N3,C17H29O8N3,1,2
C14H23O5N1,C19H33O8N1,1,2
C15H13O5N1,C20H23O8N1,1,2
C13H21O6N1,C18H31O9N1,1,2
C11H12O9,C16H22O12,1,2
C15H16O4N2,C20H26O7N2,1,2
C13H11O5N3,C18H21O8N3,1,2
C15H19O3N3,C20H29O6N3,1,2
C13H10O6N2,C18H20O9N2,1,2
C14H14O5N2,C19H24O8N2,1,2
C14H13O6N1,C19H23O9N1,1,2
C14H17O4N3,C19H27O7N3,1,2
C16H21O4N1,C21H31O7N1,1,2
C13H12O6N2,C18H22O9N2,1,2
C14H16O5N2,C19H26O8N2,1,2
C12H15O4N5,C17H25O7N5,1,2
C15H19O5N1,C20H29O8N1,1,2
C9H14O7N2S1,C14H24O10N2S1,1,2
C13H14O6N2,C18H24O9N2,1,2
C12H14O5N4,C17H24O8N4,1,2
C13H18O4N4,C18H28O7N4,1,2
C14H22O3N4,C19H32O6N4,1,2
C13H13O7N1,C18H23O10N1,1,2
C16H13O3N3,C21H23O6N3,1,2
C14H17O6N1,C19H27O9N1,1,2
C13H17O5N3,C18H27O8N3,1,2
C15H21O5N1,C20H31O8N1,1,2
C14H21O4N3,C19H31O7N3,1,2
C16H25O4N1,C21H35O7N1,1,2
C12H16O5N4,C17H26O8N4,1,2
C13H20O4N4,C18H30O7N4,1,2
C12H11O8N1,C17H21O11N1,1,2
C13H15O7N1,C18H25O10N1,1,2
C16H15O3N3,C21H25O6N3,1,2
C13H19O5N3,C18H29O8N3,1,2
C15H23O5N1,C20H33O8N1,1,2
